status,suite,datacenter,cron,name,host,desk
up,natasha,new_york_4,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}, ""stop_wd"": {""daymonth"": ""*"", ""minute"": ""16"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""20"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",1,e7ny4016.concord.global,equities
down,downloader,chicago_7,Cron disabled,glbx_01,ch7pslss132.concord.global,No desk
up,capture-service,chicago_6,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}}",1,e7ch609.concord.global,house
up,drop,chicago_6,No cron,4,e7ch6030,house
down,downloader,chicago_7,No cron,1,e7ch7088,house
down,sapphire,chicago_1,Cron disabled,test_01,ch1qsltr025,bgls
up,capture-service,new_york_4,No cron,5,e7ny4014,house
up,pricefeeder,new_york_1,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",basic_lime_02,ny1pslss010.concord.global,ssvcs
down,linux_script,chicago_7,No cron,33,e7ch7ftp02.concord.global,house
up,feeder,chicago_7,No cron,3,e7ch7097,house
up,mkt-subscriptions,chicago_7,"{""start"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""09""}, ""stop"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""06""}}",api,ch7pslwb056.concord.global,house
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""18""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",equities_03,ny4psltr033.concord.global,equities
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""58"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",vmm_17,ny4psltr031.concord.global,volatility
up,hydra,chicago_6,No cron,1,e7ch6053,us-treasuries
down,risk-service,chicago_6,No cron,1,e7ch6030,house
up,hydra,tokyo_2,No cron,1,tk2pswtr011.concord.global,metals
down,linux_script,chicago_7,"{""socgen_ice_audit_upload"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0-5"", ""hour"": ""20""}}",44,e7ch7ftp02.concord.global,house
up,feeder,chicago_7,No cron,1,e7ch7097,house
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",bgls_lino_01,ch6psltr073.concord.global,bgls
up,hydra,chicago_6,No cron,2,e7ch6054,crude
up,sapphire,chicago_5,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-4"", ""hour"": ""18""}}",gomm_01,ch5psltr024.concord.global,cpcv
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_xcbf_01,ch0pslss010.concord.global,ssvcs
down,linux_script,chicago_7,"{""oc_socgen_fix_logs"": {""daymonth"": ""*"", ""minute"": ""55"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",43,e7ch7ftp02.concord.global,house
up,feeder,tokyo_2,No cron,1,tk2pswtr012.concord.global,house
up,order-router,chicago_7,No cron,2,e7ch70102,nat-gas
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_xose_01,ch0pslss010.concord.global,ssvcs
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""06""}}",equities_09,ch6psltr076.concord.global,equities
down,tsdb,chicago_7,No cron,1,tsb.concord.global,house
down,no_apps,chicago_7,No cron,1,netpop.concord.global,house
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_idfx_01,ch0pslss010.concord.global,ssvcs
down,tsdb,chicago_7,No cron,9,tsb.concord.global,house
down,windows_script,chicago_7,No cron,20,tsb.concord.global,house
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""05""}}",gas_02,ch6psltr086.concord.global,natgas
down,linux_script,chicago_7,"{""oc_settles"": {""daymonth"": ""*"", ""minute"": ""00,17,30,45"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""14-23""}}",13,e7ch7ftp02.concord.global,house
up,ccs2-webadmin,chicago_7,Cron disabled,api,ch7pslwb057.concord.global,ssvcs
up,pricefeeder,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",basic_xcbf_01,e7ny4017.concord.global,ssvcs
up,feeder,chicago_6,No cron,1,ch6pswss085.concord.global,house
up,capture-service,new_york_4,No cron,3,e7ny4014,house
up,hydra,chicago_6,No cron,1,e7ch6054,crude
up,hydra,chicago_7,No cron,1,e7ch7097,metals
up,perf-stats,chicago_7,"{""start"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""09""}, ""stop"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""06""}}",api,ch7pslwb056.concord.global,house
up,drop,chicago_6,No cron,1,e7ch6030,house
up,order-router,chicago_7,No cron,1,e7ch7097,metals
down,order-router,chicago_7,No cron,8,e7ch7086,nat-gas
up,order-router,chicago_7,No cron,11,e7ch7066,nat-gas
down,ccs2-downloader,tokyo_1,"{""start"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""07""}}",1,tk1psltr018.concord.global,house
down,linux_script,chicago_7,No cron,19,e7ch7ftp02.concord.global,house
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""58"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",vmm_18,e7ny4025.concord.global,volatility
down,optionscity,chicago_6,No cron,metro,ch6pslt033.concord.global,nat-gas-options
up,hydra,chicago_6,No cron,7,e7ch6043,cpcv
down,windows_script,chicago_7,No cron,1,e7ch7088,house
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""18""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",equities_07,ny4psltr048.concord.global,equities
up,hydra,chicago_5,No cron,2,ch5pswtr011.concord.global,nat-gas
up,pricefeeder,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",basic_glbx_03,ch6pslss012.concord.global,ssvcs
up,hydra,chicago_6,No cron,1,e7ch6051,cbl
down,ccs2-drop,new_york_4,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""18""}}",1,e7ny4017.concord.global,house
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""58"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",vmm_08,ny4psltr020.concord.global,volatility
up,order-router,chicago_7,No cron,6,e7ch7086,nat-gas
up,sapphire,new_york_4,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-4"", ""hour"": ""20""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""50"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""03""}}",equities_10,ny4psltr035.concord.global,equities
up,order-router,new_york_4,No cron,5,ny4pswtr039.concord.global,equities
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",equities_13,ch6psltr094.concord.global,equities
down,win_app,chicago_7,No cron,1,e7ch7088,house
up,pricefeeder,tokyo_1,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""1"", ""hour"": ""07""}}",basic_xose_01,tk1psltr018.concord.global,ssvcs
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""40"", ""month"": ""*"", ""dayweek"": ""1-4"", ""hour"": ""16""}}",treasuries_05,ch6psltr055.concord.global,treasuries
up,capture-service,chicago_6,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}}",3,e7ch609.concord.global,house
up,capture-service,tokyo_1,No cron,1,tk1pswtr020.concord.global,house
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_glbx_01,ch0pslss010.concord.global,ssvcs
up,order-router,tokyo_2,No cron,1,tk2pswtr011.concord.global,metals
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""05""}}",gas_04,ch6psltr090.concord.global,natgas
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""40"", ""month"": ""*"", ""dayweek"": ""1-4"", ""hour"": ""16""}}",treasuries_04,ch6psltr089.concord.global,treasuries
up,pricefeeder,chicago_5,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",basic_ideq_01,ch5pslss021.concord.global,ssvcs
up,feeder,chicago_6,No cron,6,e7ch6046,house
up,helen,chicago_7,No cron,2,ch7pswtr129.concord.global,crude
down,linux_script,chicago_7,No cron,28,e7ch7ftp02.concord.global,house
up,feeder,chicago_6,No cron,3,e7ch6046,house
up,feeder,chicago_7,No cron,1,ch7pswss137,house
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_iepa_01,ch0pslss010.concord.global,ssvcs
down,downloader,chicago_7,No cron,2,e7ch7097,house
up,sapphire,tokyo_1,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""59"", ""month"": ""*"", ""dayweek"": ""2-6"", ""hour"": ""05""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""07""}}",fireball_9,tk1psltr013.concord.global,cpcv
up,natasha,new_york_4,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}, ""stop_wd"": {""daymonth"": ""*"", ""minute"": ""16"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""20"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",1,e7ny4021.concord.global,equities
up,helen,chicago_6,No cron,1,e7ch6059,natgas
up,drop,chicago_7,No cron,1,e7ch7057,house
up,drop-ccs2-corvil,chicago_7,"{""start"": {""daymonth"": ""*"", ""minute"": ""40"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""stop"": {""daymonth"": ""*"", ""minute"": ""20"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}}",1,e7ch70127.concord.global,house
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",bgls_08,ch6psltr077.concord.global,bgls
down,hydra,new_york_4,No cron,1,e7ny4026,equities
up,feeder,chicago_6,No cron,2,e7ch6046,house
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""18""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",equities_01,ny4psltr042.concord.global,equities
up,pricefeeder,tokyo_2,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""05""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""1"", ""hour"": ""07""}}",basic_xtkt_01,tk2psltr010.concord.global,ssvcs
up,capture-service,chicago_6,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}}",2,e7ch609.concord.global,house
up,order-router,chicago_7,No cron,2,e7ch7097,metals
up,order-router,chicago_6,No cron,1,e7ch6043,cpcv
down,windows_script,chicago_7,No cron,29,tsb.concord.global,house
up,drop,chicago_6,No cron,2,e7ch6030,house
up,ccs2-fills,chicago_5,"{""start"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""09""}, ""stop"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""06""}}",tool,ch5pslss022.concord.global,house
up,order-router,chicago_7,No cron,4,e7ch70108,crude
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_ideq_01,ch0pslss010.concord.global,ssvcs
up,natasha,new_york_4,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}, ""stop_wd"": {""daymonth"": ""*"", ""minute"": ""16"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""20"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",2,e7ny4021.concord.global,equities
down,windows_script,chicago_7,No cron,25,tsb.concord.global,house
down,downloader,new_york_4,No cron,1,e7ny4014,house
down,windows_script,chicago_7,No cron,27,tsb.concord.global,house
down,windows_script,chicago_7,No cron,28,tsb.concord.global,house
up,hydra,chicago_6,No cron,5,e7ch6043,cpcv
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""58"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",vmm_13,ny4psltr037.concord.global,volatility
up,order-router,chicago_7,No cron,2,e7ch7086,nat-gas
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",bgls_11,ch6psltr074.concord.global,bgls
down,linux_script,chicago_7,"{""getPivotChat"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}}",48,e7ch7ftp02.concord.global,house
down,solarcapture,chicago_5,No cron,ipea,ch5pslss010.concord.global,ssvcs
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""15""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""07""}}",equities_02,ch6pslt068.concord.global,equities
down,ccs2-downloader,new_york_4,"{""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}, ""start_mon-fri"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}}",3,e7ny4017.concord.global,house
up,helen,chicago_6,No cron,3,ch6pswtr056,crude
down,order-router,chicago_7,No cron,7,e7ch7086,nat-gas
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",es_stacker_01,ch6psltr082.concord.global,equities
down,optionscity,chicago_6,No cron,cityparcel,ch6pslt033.concord.global,nat-gas-options
